idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
1	10	8.50330118428151	0.113259426699904	0.224872640059547	0.999972442339986	0.00570313921345418	0.00370764228082103	0.00297357569805388
2	7	4.75093370460144	0.0663785892620703	0.147022505682737	0.999981934734947	0.00534097623029655	0.00187318111769939	0.00202370184568792
3	6	2.85008711880159	0.0380048284056351	0.109644154496832	0.999988549966753	0.00431524303425207	0.00125489117094009	0.0016443421469194
4	10	5.61507232148133	0.0754367339445724	0.181217185539009	0.999990166974375	0.00315275384519843	-0.00122180616301316	0.00286937056757137
5	8	2.7981019261371	0.0354560905767244	0.0861791229908018	0.999992493867274	0.00132323679612148	-0.003387989140215	0.00133520900103644
6	8	1.86653695662251	0.0227498449670681	0.0444879470160205	0.999997944766639	-4.07960153706402e-05	-0.00186116446018359	0.000803034890761937
7	14	6.456355434599	0.0816188328436981	0.141153323716633	0.999992898521423	0.000363302868078388	0.00243455911600114	0.00285374134418596
8	12	3.73361079140146	0.0426599857729929	0.0648839395176873	0.99999205415085	0.000488020705209734	0.00360233696256303	0.00163604381436919
9	13	3.68787423684808	0.0399356118280566	0.0769412837364374	0.999995378364289	0.000898170637761824	0.00239294276926115	0.00164631845989177
10	20	9.05884452379838	0.118013740226749	0.23971902388496	0.999977914344983	0.000609919899553067	-0.00189320283586109	0.00634149848201658
11	14	2.74347410108237	0.0269367759034268	0.0843992068091033	0.999998754899629	0.000968871056355148	-0.000515184663142457	0.00113405151118319
12	16	3.60427196490229	0.0351259793594905	0.130874236509199	0.999993335470354	0.00106701354705016	-0.00258667597741589	0.00234512352662374
13	17	3.62124349735669	0.0363828421722505	0.123815172202701	0.999992101937031	0.00079388831825193	-0.00280948947644245	0.00269677099099024
14	22	7.16032935149253	0.0895020664365809	0.186510554929646	0.999980208553686	-0.000853817707168636	-0.00116858437007397	0.00612273687327322
15	22	6.2531544284199	0.0714064994180331	0.135923471788128	0.999985096302769	-0.00107765686651309	-6.00892336402337e-05	0.00535184242139184
16	23	6.22370770189154	0.0669457670486614	0.110406026215828	0.999984195721266	-0.00115738421041096	0.000552405762168301	0.00547390330175191
17	20	2.68072863207029	0.0227349546449934	0.0454480581507369	0.999996600724211	-0.00111958818032085	-2.41497361741188e-06	0.0023547943640324
18	24	5.29559572098158	0.0410044173791641	0.0746043550502544	0.999988366061893	-0.00020776745337679	0.000961386379064364	0.00472232038106252
19	24	4.40382541689532	0.0276501732545929	0.0616088594284564	0.999991891414123	0.000525071823468347	0.000988866915009568	0.00386827452621141
20	25	4.37487047850784	0.0240188835181784	0.0559334308241437	0.999993226855226	0.000216931180329351	0.000740894417614642	0.00359864696762374
21	26	4.34448109677265	0.0189086494550994	0.0511025344231848	0.999993402198957	0.000428449030755791	0.00102539516192755	0.0034584034964249
22	31	7.58407171397429	0.0256179282306732	0.056939494974028	0.999989352987274	-0.000242474213960986	0.000184360735923627	0.00460446842401163
23	31	6.70983004673497	0.0127132362009042	0.0480851252512874	0.999992691306149	-0.000805201691827414	0.000220979386769995	0.0037309720757544
24	34	8.19104863926775	0.0185880023582429	0.0701176875396742	0.999986393547107	-0.00134155498752022	-0.000208869507362788	0.00503679703729836
25	27	1.71527124377059	-0.00218239621421493	0.0174035809188223	0.999996501535609	0.00056291353988221	0.00240825897125301	0.000938260953001452
26	34	6.470493279389	0.00364206475397909	0.0711520925704926	0.999990265967275	-0.00120601137830407	-0.00141790343574831	0.00400038211938457
27	36	7.13979496049791	0.010352182983301	0.084157935802424	0.999980117571255	-0.00172652045097409	-0.00246879933701391	0.0055397309632383
28	33	4.01300216475665	0.00214944580139224	0.0653969628445142	0.999990987611436	-0.00154310192785563	-0.00320966058374362	0.00231119261023976
